symbol	score.1	score.2	score.3	score.4	score.5	score.6	score.7	score.8
CTNNB1	5	1	1	8	8	34	45	39
TMEM247	0	NA	NA	0	0	0	0	0
TMEM132D	0	NA	NA	0	0	0	0	1085
OR7E24	0	NA	NA	0	0	0	0	115
OR51T1	0	NA	NA	0	0	0	0	181
DAXX	1	0	1	1	0	362	362	314.666666666667
WNK1	0	NA	NA	0	0	0	0	459
NELL1	0	NA	NA	0	0	0	0	504
DSC2	1	0	0.5	1	0	595	595	57
BRDT	0	NA	NA	0	0	0	0	574
CACNA1H	0	NA	NA	0	0	0	0	700
MPHOSPH9	0	NA	NA	0	0	0	0	1119
ZEB2	0	NA	NA	0	0	0	0	528.5
PRKAR1A	0	NA	NA	0	0	0	0	174.333333333333
RTL1	1	0	1	1	0	813	813	1165
SPATA31A3	0	NA	NA	0	0	0	0	128
SPATA31A6	0	NA	NA	0	0	0	0	128
GAS8	1	0	1	1	0	134	134	135
SNW1	1	0	1	1	0	189	189	138
ARPP21	0	NA	NA	0	0	0	0	140
ARRDC3	1	0	1	1	0	188	188	141
STAB2	0	NA	NA	0	0	0	0	1292.66666666667
BCOR	1	0	1	1	0	908	908	1611
SUGT1	0	NA	NA	0	0	0	0	162
ETS2	0	NA	NA	0	0	0	0	175
TMEM203	0	NA	NA	0	0	0	0	18
CENPQ	0	NA	NA	0	0	0	0	191
IFT140	0	NA	NA	0	0	0	0	201
NF1	0	NA	NA	0	0	0	0	1805.25
NLRP4	0	NA	NA	0	0	0	0	224
ADGRV1	1	0	0.5	1	0	4039	4039	2245
IRX4	1	0	1	1	0	149	149	228
GFAP	0	NA	NA	0	0	0	0	281
ZNF536	0	NA	NA	0	0	0	0	288
LRIT2	0	NA	NA	0	0	0	0	311
TP53	1	0	0.5	1	0	275	275	213.5
ZNRF3	0	NA	NA	0	0	0	0	308
CCDC168	1	0	0.333333333333333	1	0	1695	1695	4307
NLGN4X	1	0	1	1	0	461	461	411
DENND4C	0	NA	NA	0	0	0	0	415
KIAA0319	0	NA	NA	0	0	0	0	417
RASGEF1C	0	NA	NA	0	0	0	0	44
RB1	0	NA	NA	0	0	0	0	337.5
PPP1R3A	0	NA	NA	0	0	0	0	528
ZNF548	0	NA	NA	0	0	0	0	529
CEP250	0	NA	NA	0	0	0	0	555
BICC1	0	NA	NA	0	0	0	0	59
GPRASP2	1	0	1	1	0	433	433	597
MPDZ	0	NA	NA	0	0	0	0	652
DDX18	1	0	1	1	0	445	445	67
KCNH8	0	NA	NA	0	0	0	0	695
TLR8	1	0	1	1	0	734	734	734
GREB1L	0	NA	NA	0	0	0	0	737
SMARCAL1	1	0	1	1	0	817	817	746
MICAL1	0	NA	NA	0	0	0	0	759
FERD3L	0	NA	NA	0	0	0	0	76
ARHGAP44	1	0	1	1	0	810	810	810
TRIM33	0	NA	NA	0	0	0	0	887
RB1CC1	0	NA	NA	0	0	0	0	919
ABCA12	1	0	1	1	0	229	229	938
NOMO1	0	NA	NA	0	0	0	0	1159
CSMD1	1	0	0.5	1	0	1092	1092	146
PDZD3	0	NA	NA	0	0	0	0	158
OR6C1	1	0	1	1	0	197	197	197
FBN1	0	NA	NA	0	0	0	0	2514
DNAH11	0	NA	NA	0	0	0	0	2567
OR5B12	0	NA	NA	0	0	0	0	311
TMPO	0	NA	NA	0	0	0	0	332
TENM1	0	NA	NA	0	0	0	0	394
GSTCD	0	NA	NA	0	0	0	0	510
DCLK1	1	0	1	1	0	388	388	563
POM121L2	0	NA	NA	0	0	0	0	769
CNTLN	0	NA	NA	0	0	0	0	1130
SETD5	0	NA	NA	0	0	0	0	1183
C10orf11	0	NA	NA	0	0	0	0	15
PLEC	0	NA	NA	0	0	0	0	2596
MAMLD1	1	0	1	1	0	768	768	237
GATAD2B	0	NA	NA	0	0	0	0	30
ATRX	1	0	1	1	0	1754	1754	471.5
RBM15B	0	NA	NA	0	0	0	0	696
DDX50	0	NA	NA	0	0	0	0	217
LRRD1	0	NA	NA	0	0	0	0	300
PRAMEF11	0	NA	NA	0	0	0	0	454
ZNF616	0	NA	NA	0	0	0	0	107
SREBF2	0	NA	NA	0	0	0	0	221
ADAMTS6	0	NA	NA	0	0	0	0	1029
IGSF9B	0	NA	NA	0	0	0	0	1029
SENP6	0	NA	NA	0	0	0	0	1036
ARHGEF40	0	NA	NA	0	0	0	0	925.5
CEACAM20	0	NA	NA	0	0	0	0	129
FBXO27	0	NA	NA	0	0	0	0	130
ZNF793	0	NA	NA	0	0	0	0	134
OSTF1	0	NA	NA	0	0	0	0	136
RRNAD1	0	NA	NA	0	0	0	0	193
STK11	0	NA	NA	0	0	0	0	220
VSIG2	0	NA	NA	0	0	0	0	222
RMDN1	0	NA	NA	0	0	0	0	225
ADCY7	0	NA	NA	0	0	0	0	229
SIGLEC5	0	NA	NA	0	0	0	0	237
PML	0	NA	NA	0	0	0	0	248
NAALADL2	0	NA	NA	0	0	0	0	290
PCDHA11	0	NA	NA	0	0	0	0	30
GADD45G	0	NA	NA	0	0	0	0	34
SLCO4C1	1	0	1	1	0	611	611	436
SLC45A2	0	NA	NA	0	0	0	0	484
POTED	0	NA	NA	0	0	0	0	500
IQUB	0	NA	NA	0	0	0	0	535
ARID1A	0	NA	NA	0	0	0	0	542
A2ML1	1	0	1	1	0	481	481	561
GNAS	1	0	0.5	1	0	201	201	627
EML1	0	NA	NA	0	0	0	0	706
BEGAIN	0	NA	NA	0	0	0	0	72
HEPH	0	NA	NA	0	0	0	0	722
SMTN	0	NA	NA	0	0	0	0	822
TRIOBP	1	0	0.5	1	0	710	710	1068
BRF2	0	NA	NA	0	0	0	0	107
COL14A1	0	NA	NA	0	0	0	0	1120
BCORL1	0	NA	NA	0	0	0	0	1196
ZC3H13	1	0	1	1	0	451	451	1233
SLC39A6	0	NA	NA	0	0	0	0	142
COL6A5	0	NA	NA	0	0	0	0	1794
FILIP1L	0	NA	NA	0	0	0	0	156
DPPA2	0	NA	NA	0	0	0	0	168
NSD1	1	0	1	1	0	2360	2360	1700
LRRK2	0	NA	NA	0	0	0	0	1725
BCL2L11	0	NA	NA	0	0	0	0	185
BTN3A1	0	NA	NA	0	0	0	0	223
ATM	0	NA	NA	0	0	0	0	554.333333333333
SI	1	0	0.5	1	0	937	937	263
CECR2	0	NA	NA	0	0	0	0	267
GPR20	0	NA	NA	0	0	0	0	309
