symbol	cds.id
GABRA1	ENST00000023897
VPS13D	ENST00000620676
LAMA3	ENST00000313654
SCARF1	ENST00000263071
RBL1	ENST00000373664
ANKRD24	ENST00000318934
WDR7	ENST00000254442
KLHDC4	ENST00000270583
RBM28	ENST00000223073
KLRB1	ENST00000229402
DNMT3A	ENST00000264709
OPN4	ENST00000241891
NOL11	ENST00000253247
PHC2	ENST00000257118
ANK2	ENST00000357077
KLHL3	ENST00000309755
NTMT1	ENST00000372480
TTN	ENST00000591111
SNAPC4	ENST00000298532
SALL2	ENST00000614342
TMEM266	ENST00000388942
TACR3	ENST00000304883
THOP1	ENST00000307741
TRAM1L1	ENST00000310754
TRAK1	ENST00000327628
SCFD2	ENST00000401642
BEX5	ENST00000333643
F8	ENST00000360256
KIAA1671	ENST00000358431
DDO	ENST00000368924
GIGYF2	ENST00000373563
MICA	ENST00000449934
DISP3	ENST00000294484
HIST1H3B	ENST00000621411
TENM1	ENST00000371130
HIVEP2	ENST00000012134
LRP6	ENST00000261349
HECTD1	ENST00000399332
COL9A3	ENST00000343916
UPK3A	ENST00000216211
CNTN3	ENST00000263665
MRPL37	ENST00000360840
NEK2	ENST00000366999
TP53	ENST00000269305
GFRA1	ENST00000355422
TGIF2LX	ENST00000283891
KIF5A	ENST00000455537
ZNF230	ENST00000429154
CLDN1	ENST00000295522
CDCP1	ENST00000296129
SUGT1	ENST00000343788
ANKS3	ENST00000304283
LRP1B	ENST00000389484
SEMA3E	ENST00000307792
PARP14	ENST00000474629
IZUMO1	ENST00000332955
FAM9A	ENST00000381003
BCOR	ENST00000378444
RELN	ENST00000428762
FLNA	ENST00000369850
RTEL1	ENST00000370018
DNAH5	ENST00000265104
DVL1	ENST00000378888
PPWD1	ENST00000261308
ARID3A	ENST00000263620
COL5A1	ENST00000371817
PPFIA2	ENST00000549396
GPR174	ENST00000276077
CNTN5	ENST00000524871
ADPRM	ENST00000379774
PKHD1	ENST00000371117
TMEM247	ENST00000434431
RBM20	ENST00000369519
TLR9	ENST00000360658
PI4KA	ENST00000255882
PCDHA12	ENST00000398631
ASB4	ENST00000325885
USH2A	ENST00000307340
PARP12	ENST00000263549
BCAT1	ENST00000261192
SPHK2	ENST00000245222
SNCAIP	ENST00000261368
MYLK	ENST00000360304
POLR1A	ENST00000263857
SLC6A15	ENST00000266682
CLASP1	ENST00000263710
CHMP2B	ENST00000263780
HACE1	ENST00000262903
MAP3K4	ENST00000392142
HUWE1	ENST00000262854
EPB41L1	ENST00000338074
SUPT16H	ENST00000216297
PCSK5	ENST00000545128
CHKB	ENST00000406938
ISM2	ENST00000342219
SNW1	ENST00000261531
CPNE6	ENST00000397016
SLA2	ENST00000262866
EEA1	ENST00000322349
KCNA7	ENST00000221444
LILRB1	ENST00000324602
OGDH	ENST00000222673
MPDZ	ENST00000319217
SH3GL2	ENST00000380607
SH3D19	ENST00000304527
ADGRD1	ENST00000261654
NEDD9	ENST00000379446
BACH2	ENST00000257749
RAD1	ENST00000341754
SMC4	ENST00000344722
PIKFYVE	ENST00000264380
IL18R1	ENST00000233957
KMT2A	ENST00000389506
FILIP1	ENST00000237172
YLPM1	ENST00000325680
IFT43	ENST00000314067
ATAD2B	ENST00000238789
IFNA8	ENST00000380205
OCRL	ENST00000371113
PAEP	ENST00000277508
ITPR2	ENST00000381340
LRP1	ENST00000243077
IQSEC2	ENST00000396435
KLHDC3	ENST00000326974
TRMT5	ENST00000261249
MCHR1	ENST00000249016
FXR2	ENST00000250113
MAP1B	ENST00000296755
CARD6	ENST00000254691
HSD17B4	ENST00000256216
CDC73	ENST00000367435
RAX	ENST00000334889
SLC44A5	ENST00000370855
MYO1F	ENST00000338257
GPR161	ENST00000367835
FBLN7	ENST00000331203
AFF3	ENST00000409236
EML3	ENST00000394773
KIAA1755	ENST00000279024
CACNA1C	ENST00000347598
MIPOL1	ENST00000327441
FLI1	ENST00000527786
EPG5	ENST00000282041
HOMER1	ENST00000334082
ETS2	ENST00000360214
SLC2A6	ENST00000371899
TMEM169	ENST00000295658
SPTA1	ENST00000368147
ELOVL7	ENST00000425382
EGFLAM	ENST00000354891
ZNF704	ENST00000327835
CHMP4C	ENST00000297265
NOS3	ENST00000297494
C9orf84	ENST00000318737
PIGO	ENST00000378617
ZNF503	ENST00000372524
RET	ENST00000355710
A2ML1	ENST00000299698
KMT2D	ENST00000301067
AQP2	ENST00000199280
CCDC88B	ENST00000356786
SCN11A	ENST00000302328
SLC20A2	ENST00000342228
MYO7B	ENST00000409816
TMC7	ENST00000304381
AKAP13	ENST00000394518
PGK2	ENST00000304801
KCND3	ENST00000315987
OR2AT4	ENST00000305159
GPR82	ENST00000302548
KLHL15	ENST00000328046
KIAA1551	ENST00000312561
SPHK1	ENST00000392496
MAP3K15	ENST00000338883
OR52N1	ENST00000317078
KCNH8	ENST00000328405
GPAT2	ENST00000359548
CARMIL3	ENST00000342740
PNLIPRP1	ENST00000358834
ATP13A5	ENST00000342358
DPYD	ENST00000370192
MAN2A2	ENST00000360468
PCDHB11	ENST00000354757
COL4A6	ENST00000372216
ZNF770	ENST00000356321
FAM47C	ENST00000358047
CLEC4C	ENST00000360345
FANK1	ENST00000368693
FKBPL	ENST00000375156
TRIM39	ENST00000376656
OR6C1	ENST00000379668
RFPL4A	ENST00000434937
MROH5	ENST00000621837
C1orf226	ENST00000458626
LRRD1	ENST00000430130
DPP3	ENST00000541961
HMBS	ENST00000278715
CNPY2	ENST00000273308
MC1R	ENST00000555147
CDKL5	ENST00000379989
MSMO1	ENST00000261507
MEGF8	ENST00000251268
CTSD	ENST00000236671
CRACR2A	ENST00000440314
PTPRE	ENST00000254667
G6PC3	ENST00000269097
TMEM177	ENST00000272521
GLRA1	ENST00000455880
SH3KBP1	ENST00000397821
PCDH15	ENST00000320301
ADAMTS3	ENST00000286657
OMA1	ENST00000371226
TRIM58	ENST00000366481
ANAPC10	ENST00000309439
HIST1H1E	ENST00000304218
GTSF1	ENST00000305879
POLR1C	ENST00000372389
OTP	ENST00000306422
SH3RF3	ENST00000309415
LRRN3	ENST00000308478
MUC13	ENST00000616727
CNBD1	ENST00000518476
AHNAK2	ENST00000333244
NAP1L1	ENST00000261182
CFAP77	ENST00000343036
IGF2R	ENST00000356956
ZNF813	ENST00000396403
ASPH	ENST00000379454
NR1H3	ENST00000441012
TNC	ENST00000350763
HMMR	ENST00000358715
PIK3C3	ENST00000262039
SP140	ENST00000392045
HADHA	ENST00000380649
SULT2B1	ENST00000201586
CECR2	ENST00000342247
C19orf44	ENST00000221671
HRG	ENST00000232003
OGG1	ENST00000344629
CTBS	ENST00000370630
ATF6	ENST00000367942
WBP4	ENST00000379487
ITIH5	ENST00000397146
SCO2	ENST00000252785
WDR44	ENST00000254029
DSG1	ENST00000257192
ADGRB3	ENST00000370598
PAN2	ENST00000425394
MDC1	ENST00000376406
GAS2L3	ENST00000266754
URB1	ENST00000382751
FBN3	ENST00000270509
FHAD1	ENST00000358897
GOLGA4	ENST00000361924
ITPR1	ENST00000354582
ANKAR	ENST00000313581
XPC	ENST00000285021
BRPF1	ENST00000457855
HTR5A	ENST00000287907
FBXO8	ENST00000393674
PRMT9	ENST00000322396
ANKRD55	ENST00000341048
PRDX3	ENST00000298510
XIRP1	ENST00000340369
TET2	ENST00000380013
HNRNPF	ENST00000337970
WDR87	ENST00000303868
COPS9	ENST00000607357
SLC6A19	ENST00000304460
MEX3C	ENST00000406189
SFXN4	ENST00000355697
SLC35F3	ENST00000366617
SLC24A3	ENST00000328041
CCDC73	ENST00000335185
SERPINA1	ENST00000355814
PKHD1L1	ENST00000378402
SCGB2B2	ENST00000379204
DECR2	ENST00000219481
TARM1	ENST00000432826
MAGEL2	ENST00000532292
PHTF2	ENST00000248550
DLEC1	ENST00000308059
CCDC88C	ENST00000389857
CC2D2A	ENST00000424120
FOXN3	ENST00000261302
APPBP2	ENST00000083182
HLTF	ENST00000310053
ZCCHC6	ENST00000375963
SMOX	ENST00000305958
KDM2B	ENST00000377071
TRIM9	ENST00000298355
TANGO6	ENST00000261778
CMC2	ENST00000219400
DMXL2	ENST00000251076
SLC30A4	ENST00000261867
TWISTNB	ENST00000222567
NPTX2	ENST00000265634
ABCC3	ENST00000285238
VNN1	ENST00000367928
ADGRG6	ENST00000230173
SENP6	ENST00000447266
ADAM23	ENST00000264377
SF3B1	ENST00000335508
PPP1R7	ENST00000234038
CHD5	ENST00000262450
SIPA1L2	ENST00000262861
KCNQ4	ENST00000347132
DBH	ENST00000393056
KRT17	ENST00000311208
PHF20L1	ENST00000395386
TULP4	ENST00000367097
ZSWIM6	ENST00000252744
ZNF236	ENST00000253159
EXOC4	ENST00000253861
GPNMB	ENST00000381990
KIAA0319	ENST00000378214
