symbol	syn.obs	missense.obs	nonsense.obs	fs.obs	inframe.obs	max.missense	max.nonsense	max.prot	cds.id	length	total.mut.cnt	prot.mut.cnt	total.mut.pct	prot.mut.pct	score.max_cnt	score.mult_pct	score.max_pct	max.peak.cnt	multiple.cnt	summit.start	summit.end	wt.stop	fitch	fitch.summit
A2ML1	0	1	1	0	0	NA	NA	NA	ENST00000299698	13086	2	2	0.0152835090936879	0.0152835090936879	1	0	1	0	0	481	481	561	1.5871989232	1.5871989232
AACS	1	0	0	0	0	NA	NA	NA	ENST00000316519	6048	1	0	0.0165343915343915	0	0	NA	NA	0	0	0	0	0	NA	NA
AASDHPPT	0	1	0	0	0	NA	NA	NA	ENST00000278618	2781	1	1	0.0359582883854729	0.0359582883854729	1	0	1	0	0	111	111	0	0	0
AASS	1	0	0	0	0	NA	NA	NA	ENST00000393376	8334	1	0	0.0119990400767939	0	0	NA	NA	0	0	0	0	0	NA	NA
AATF	0	1	0	0	0	NA	NA	NA	ENST00000619387	5040	1	1	0.0198412698412698	0.0198412698412698	1	0	1	0	0	173	173	0	0.3013159976	0.3013159976
ABCA1	1	0	0	0	0	NA	NA	NA	ENST00000374736	20349	1	0	0.00491424640031451	0	0	NA	NA	0	0	0	0	0	NA	NA
ABCA12	1	1	1	0	0	-1.60564167596696	0.946186049344814	NA	ENST00000272895	23355	3	2	0.0128452151573539	0.00856347677156926	1	0	1	0	0	229	229	938	1.0794769533	1.0794769533
ABCA13	2	0	1	0	0	-4.99999997435593	1.22771950570977	NA	ENST00000435803	45522	3	1	0.00659022011335179	0.00219674003778393	0	NA	NA	0	0	0	0	2950	NA	NA
ABCA7	1	0	0	0	0	NA	NA	NA	ENST00000263094	19314	1	0	0.00517759138448794	0	0	NA	NA	0	0	0	0	0	NA	NA
ABCB1	0	1	0	0	0	NA	NA	NA	ENST00000265724	11520	1	1	0.00868055555555556	0.00868055555555556	1	0	1	0	0	545	545	0	0	0
ABCB11	0	1	0	0	0	NA	NA	NA	ENST00000263817	11889	1	1	0.00841113634452014	0.00841113634452014	1	0	1	0	0	143	143	0	1.0651601042	1.0651601042
ABCB5	0	1	0	0	0	NA	NA	NA	ENST00000404938	11313	1	1	0.00883938831432865	0.00883938831432865	1	0	1	0	0	1034	1034	0	1.2048866123	1.2048866123
ABCC11	1	1	1	0	0	-1.05239688065932	2.34629143301013	NA	ENST00000356608	12438	3	2	0.0241196333815726	0.0160797555877151	1	0	1	0	0	1335	1335	121	NA	NA
ABCC3	1	2	0	0	0	-0.107780411343557	-4.99999049071416	NA	ENST00000285238	13743	3	2	0.0218292949137743	0.0145528632758495	1	0	0.5	0	0	403	403	0	0.27081597665	0.27081597665
ABCC6	0	2	0	0	0	NA	NA	NA	ENST00000205557	13527	2	2	0.0147852443261625	0.0147852443261625	1	0	0.5	0	0	235	235	0	0.38426528655	0.38426528655
ABCC8	1	0	0	0	0	NA	NA	NA	ENST00000389817	14229	1	0	0.00702790076604118	0	0	NA	NA	0	0	0	0	0	NA	NA
ABCC9	1	1	0	0	0	NA	NA	NA	ENST00000261201	13941	2	1	0.01434617315831	0.00717308657915501	1	0	1	0	0	1440	1440	0	0	0
ABCD2	0	1	0	0	0	NA	NA	NA	ENST00000308666	6660	1	1	0.015015015015015	0.015015015015015	1	0	1	0	0	259	259	0	0.0927826338	0.0927826338
