symbol	syn.obs	missense.obs	nonsense.obs	fs.obs	inframe.obs	max.missense	max.nonsense	max.prot	cds.id	length
A2ML1	0	1	1	0	0	NA	NA	NA	ENST00000299698	13086
AACS	1	0	0	0	0	NA	NA	NA	ENST00000316519	6048
AASDHPPT	0	1	0	0	0	NA	NA	NA	ENST00000278618	2781
AASS	1	0	0	0	0	NA	NA	NA	ENST00000393376	8334
AATF	0	1	0	0	0	NA	NA	NA	ENST00000619387	5040
ABCA1	1	0	0	0	0	NA	NA	NA	ENST00000374736	20349
ABCA12	1	1	1	0	0	-1.60564167596696	0.946186049344814	NA	ENST00000272895	23355
ABCA13	2	0	1	0	0	-4.99999997435593	1.22771950570977	NA	ENST00000435803	45522
ABCA7	1	0	0	0	0	NA	NA	NA	ENST00000263094	19314
ABCB1	0	1	0	0	0	NA	NA	NA	ENST00000265724	11520
ABCB11	0	1	0	0	0	NA	NA	NA	ENST00000263817	11889
ABCB5	0	1	0	0	0	NA	NA	NA	ENST00000404938	11313
ABCC11	1	1	1	0	0	-1.05239688065932	2.34629143301013	NA	ENST00000356608	12438
ABCC3	1	2	0	0	0	-0.107780411343557	-4.99999049071416	NA	ENST00000285238	13743
ABCC6	0	2	0	0	0	NA	NA	NA	ENST00000205557	13527
ABCC8	1	0	0	0	0	NA	NA	NA	ENST00000389817	14229
ABCC9	1	1	0	0	0	NA	NA	NA	ENST00000261201	13941
ABCD2	0	1	0	0	0	NA	NA	NA	ENST00000308666	6660
ABCD4	0	1	0	0	0	NA	NA	NA	ENST00000356924	5454
ABCF1	0	1	0	0	0	NA	NA	NA	ENST00000326195	7605
ABHD3	0	1	0	0	0	NA	NA	NA	ENST00000289119	3681
ABI1	0	1	0	0	0	NA	NA	NA	ENST00000376142	4572
ABL1	1	0	0	0	0	NA	NA	NA	ENST00000318560	10170
ABLIM1	1	0	0	0	0	NA	NA	NA	ENST00000277895	7002
ABLIM3	0	1	0	0	0	NA	NA	NA	ENST00000309868	6147
ABR	1	0	0	0	0	NA	NA	NA	ENST00000302538	7731
ACADS	0	1	0	0	0	NA	NA	NA	ENST00000242592	3708
ACAP1	0	1	0	0	0	NA	NA	NA	ENST00000158762	6660
ACBD6	1	0	0	0	0	NA	NA	NA	ENST00000367595	2538
ACOT9	0	1	0	0	0	NA	NA	NA	ENST00000336430	3951
ACPP	0	1	0	0	0	NA	NA	NA	ENST00000336375	3474
ACSL1	0	3	0	0	0	4.99999947713978	-4.99561705154771	NA	ENST00000281455	6282
ACSL3	1	1	0	0	0	NA	NA	NA	ENST00000357430	6480
ACTG1	0	2	0	0	0	NA	NA	NA	ENST00000331925	3375
ACTN1	0	1	0	0	0	NA	NA	NA	ENST00000193403	8028
ACTN2	0	1	0	0	0	NA	NA	NA	ENST00000366578	8046
ACTR5	0	1	0	0	0	NA	NA	NA	ENST00000243903	5463
ACVR1	0	1	0	0	0	NA	NA	NA	ENST00000263640	4581
ACVR2B	1	0	0	0	0	NA	NA	NA	ENST00000352511	4608
ACVRL1	0	1	0	0	0	NA	NA	NA	ENST00000388922	4527
ADA	1	0	0	0	0	NA	NA	NA	ENST00000372874	3267
ADAM15	0	1	0	0	0	NA	NA	NA	ENST00000356955	7767
ADAM2	0	1	0	0	0	NA	NA	NA	ENST00000265708	6615
ADAM21	1	0	0	0	0	NA	NA	NA	ENST00000603540	6498
ADAM23	0	1	0	0	0	NA	NA	NA	ENST00000264377	7488
ADAM30	0	1	0	0	0	NA	NA	NA	ENST00000369400	7110
ADAM9	1	0	0	0	0	NA	NA	NA	ENST00000487273	7371
ADAMTS13	0	1	0	0	0	NA	NA	NA	ENST00000371929	12843
ADAMTS14	1	0	0	0	0	NA	NA	NA	ENST00000373207	11007
ADAMTS16	0	2	0	0	0	NA	NA	NA	ENST00000274181	11016
ADAMTS17	0	2	0	0	0	NA	NA	NA	ENST00000268070	9855
ADAMTS18	0	1	0	0	0	NA	NA	NA	ENST00000282849	10989
ADAMTS2	0	1	0	0	0	NA	NA	NA	ENST00000251582	10899
ADAMTS3	1	0	0	0	0	NA	NA	NA	ENST00000286657	10845
ADAMTS6	0	0	1	0	0	NA	NA	NA	ENST00000381055	10053
ADAMTS7	2	0	0	0	0	NA	NA	NA	ENST00000388820	15174
ADAMTS9	0	1	0	0	0	NA	NA	NA	ENST00000498707	17415
ADAMTSL4	0	1	0	0	0	NA	NA	NA	ENST00000271643	9666
ADARB1	0	1	0	0	0	NA	NA	NA	ENST00000360697	6669
ADCY2	0	2	0	0	0	NA	NA	NA	ENST00000338316	9819
ADCY4	0	1	0	0	0	NA	NA	NA	ENST00000310677	9693
ADCY5	0	1	0	0	0	NA	NA	NA	ENST00000462833	11349
ADCY7	0	0	1	0	0	NA	NA	NA	ENST00000254235	9720
ADD2	0	1	0	0	0	NA	NA	NA	ENST00000264436	6534
ADD3	0	1	0	0	0	NA	NA	NA	ENST00000356080	6354
ADGB	0	2	0	0	0	NA	NA	NA	ENST00000397944	15003
ADGRA2	0	1	0	0	0	NA	NA	NA	ENST00000412232	12042
ADGRA3	0	0	0	1	0	NA	NA	NA	ENST00000334304	11889
ADGRB2	0	1	0	0	0	NA	NA	NA	ENST00000373658	14265
ADGRB3	0	1	0	0	0	NA	NA	NA	ENST00000370598	13698
ADGRD1	0	1	0	0	0	NA	NA	NA	ENST00000261654	7866
ADGRE1	0	1	0	0	0	NA	NA	NA	ENST00000312053	7974
ADGRE2	0	1	0	0	0	NA	NA	NA	ENST00000315576	7407
ADGRE3	0	1	0	0	0	NA	NA	NA	ENST00000253673	5868
ADGRE5	0	1	0	0	0	NA	NA	NA	ENST00000242786	7515
ADGRF3	0	1	0	0	0	NA	NA	NA	ENST00000311519	9711
ADGRG4	0	2	0	0	0	NA	NA	NA	ENST00000370652	27720
ADGRG6	0	1	0	0	0	NA	NA	NA	ENST00000230173	10989
ADGRL1	1	0	0	0	0	NA	NA	NA	ENST00000340736	13266
ADGRL2	1	0	0	0	0	NA	NA	NA	ENST00000370717	13131
ADGRL3	0	1	0	0	0	NA	NA	NA	ENST00000514591	13221
ADGRL4	0	2	0	0	0	NA	NA	NA	ENST00000370742	6210
ADGRV1	0	2	1	0	0	3.30453332081985	4.99999859131542	NA	ENST00000405460	56754
ADH5	1	0	0	0	0	NA	NA	NA	ENST00000296412	3366
ADH6	1	0	0	0	0	NA	NA	NA	ENST00000237653	3312
ADNP	0	1	0	0	0	NA	NA	NA	ENST00000349014	9918
ADNP2	0	0	0	1	0	NA	NA	NA	ENST00000262198	10179
ADPRM	0	1	0	0	0	NA	NA	NA	ENST00000379774	3078
ADRA1B	1	0	0	0	0	NA	NA	NA	ENST00000306675	4680
ADRB3	1	0	0	0	0	NA	NA	NA	ENST00000345060	3672
ADSL	0	1	0	0	0	NA	NA	NA	ENST00000623063	4356
ADSS	0	1	0	0	0	NA	NA	NA	ENST00000366535	4104
ADSSL1	0	2	0	0	0	NA	NA	NA	ENST00000330877	4113
AEBP1	1	1	0	0	0	NA	NA	NA	ENST00000223357	10422
AFAP1L2	0	1	0	0	0	NA	NA	NA	ENST00000304129	7362
AFF3	0	2	0	0	0	NA	NA	NA	ENST00000409236	11034
AFP	0	1	0	0	0	NA	NA	NA	ENST00000395792	5481
AGBL2	0	1	0	0	0	NA	NA	NA	ENST00000525123	8118
AGBL5	0	1	0	0	0	NA	NA	NA	ENST00000360131	7974
AGL	0	1	0	0	0	NA	NA	NA	ENST00000294724	13788
AGO3	0	1	0	0	0	NA	NA	NA	ENST00000373191	7740
AGXT2	1	0	0	0	0	NA	NA	NA	ENST00000231420	4626
AHNAK2	2	4	0	0	0	-0.172360927907276	-4.99996417122804	NA	ENST00000333244	52155
AICDA	1	0	0	0	0	NA	NA	NA	ENST00000229335	1782
AIPL1	1	0	0	0	0	NA	NA	NA	ENST00000381129	3456
AJAP1	1	0	0	0	0	NA	NA	NA	ENST00000378190	3699
AJUBA	0	1	0	0	0	NA	NA	NA	ENST00000262713	4842
AKAP1	0	1	0	0	0	NA	NA	NA	ENST00000337714	8127
AKAP11	0	1	0	0	0	NA	NA	NA	ENST00000025301	17109
AKAP13	0	1	0	0	0	NA	NA	NA	ENST00000394518	25317
AKAP4	0	1	0	0	0	NA	NA	NA	ENST00000358526	7686
AKAP8	0	1	0	0	0	NA	NA	NA	ENST00000269701	6228
AKAP8L	0	1	0	0	0	NA	NA	NA	ENST00000397410	5814
AKAP9	0	1	0	0	0	NA	NA	NA	ENST00000356239	35163
AKR1B15	0	1	0	0	0	NA	NA	NA	ENST00000457545	3096
AKR1D1	1	0	0	0	0	NA	NA	NA	ENST00000242375	2934
ALAD	0	1	0	0	0	NA	NA	NA	ENST00000409155	2970
ALDH1L2	0	1	0	0	0	NA	NA	NA	ENST00000258494	8307
ALDH5A1	0	1	0	0	0	NA	NA	NA	ENST00000357578	4815
ALDH8A1	0	1	0	0	0	NA	NA	NA	ENST00000265605	4383
ALG10	0	2	0	0	0	NA	NA	NA	ENST00000266483	4257
ALK	1	0	0	0	0	NA	NA	NA	ENST00000389048	14580
ALKBH1	0	1	0	0	0	NA	NA	NA	ENST00000216489	3501
ALOX12	0	1	0	0	0	NA	NA	NA	ENST00000251535	5967
ALOX5	0	2	0	0	0	NA	NA	NA	ENST00000374391	6066
ALPK1	0	1	0	1	0	NA	NA	NA	ENST00000177648	11196
ALX1	0	1	0	0	0	NA	NA	NA	ENST00000316824	2934
AMDHD2	0	0	0	0	1	NA	NA	NA	ENST00000293971	3681
AMER3	0	1	0	0	0	NA	NA	NA	ENST00000321420	7749
AMHR2	0	1	0	0	0	NA	NA	NA	ENST00000257863	5157
AMOTL2	0	1	0	0	0	NA	NA	NA	ENST00000422605	7011
AMPH	0	1	0	0	0	NA	NA	NA	ENST00000356264	6255
AMT	1	0	0	0	0	NA	NA	NA	ENST00000273588	3627
ANAPC10	0	1	0	0	0	NA	NA	NA	ENST00000309439	1665
ANAPC4	1	0	0	0	0	NA	NA	NA	ENST00000315368	7272
ANGPT1	1	0	0	0	0	NA	NA	NA	ENST00000517746	4482
ANK2	1	4	0	0	0	0.174795133568866	-4.99998087631546	NA	ENST00000357077	35613
ANK3	0	2	0	0	0	NA	NA	NA	ENST00000280772	39393
ANKAR	0	0	0	1	0	NA	NA	NA	ENST00000313581	12906
ANKFN1	0	1	0	0	0	NA	NA	NA	ENST00000318698	6867
ANKH	0	1	0	0	0	NA	NA	NA	ENST00000284268	4428
ANKIB1	1	1	0	0	0	NA	NA	NA	ENST00000265742	9801
ANKRD11	1	0	0	0	0	NA	NA	NA	ENST00000301030	23967
ANKRD17	0	1	0	0	0	NA	NA	NA	ENST00000358602	23427
ANKRD24	1	1	0	0	0	NA	NA	NA	ENST00000318934	10314
ANKRD26	0	1	0	0	0	NA	NA	NA	ENST00000376087	15390
ANKRD28	0	1	0	0	0	NA	NA	NA	ENST00000399451	9477
ANKRD30B	1	2	0	0	0	-0.5181632361191	-4.99999918798268	NA	ENST00000358984	12528
