symbol	fitch	fitch.summit
A2ML1	1.5871989232	1.5871989232
AASDHPPT	0	0
AATF	0.3013159976	0.3013159976
ABCA12	1.0794769533	1.0794769533
ABCB1	0	0
ABCB11	1.0651601042	1.0651601042
ABCB5	1.2048866123	1.2048866123
ABCC3	0.27081597665	0.5416319533
ABCC6	0.38426528655	0.2071493883
ABCC9	0	0
ABCD2	0.0927826338	0.0927826338
ABCD4	0.8042303949	0.8042303949
ABCF1	0.093629268	0.093629268
ABHD3	0	0
ABI1	0.3446732261	0.3446732261
ABLIM3	0.5119677583	0.5119677583
ACADS	0	0
ACAP1	0	0
ACOT9	0.4260147618	0.4260147618
ACPP	0	0
ACSL1	0.4210416054	0.0867343686
ACSL3	0.165618248	0.165618248
ACTG1	0.0509271128	0.1018542256
ACTN1	0.5936002935	0.5936002935
ACTN2	0	0
ACTR5	0	0
ACVR1	0.0812063364	0.0812063364
ACVRL1	0	0
ADAM15	0.3204723506	0.3204723506
ADAM2	0.3580376315	0.3580376315
ADAM23	0.5825834028	0.5825834028
ADAM30	2.8121148721	2.8121148721
ADAMTS13	0	0
ADAMTS16	0.64287666935	0
ADAMTS17	0	0
ADAMTS18	0	0
ADAMTS2	0.1284087713	0.1284087713
ADAMTS9	1.173444023	1.173444023
ADAMTSL4	0.3846717538	0.3846717538
ADCY2	0.08257887895	0.1651577579
ADCY4	0	0
ADCY5	0.0917537088	0.0917537088
ADD2	0.8856241503	0.8856241503
ADD3	0.1604242516	0.1604242516
ADGB	1.5355646291	0.9977819308
ADGRA2	0	0
ADGRB2	0.196304239	0.196304239
ADGRB3	0.1666350338	0.1666350338
ADGRD1	0.6744557311	0.6744557311
ADGRE1	0.6703765304	0.6703765304
ADGRE2	0.3216935665	0.3216935665
ADGRE3	1.0551407159	1.0551407159
ADGRE5	0	0
ADGRF3	0	0
ADGRG6	0.7957557571	0.7957557571
ADGRL3	0.276946758	0.276946758
ADGRL4	0.0973492386	0.0973492386
ADGRV1	0.60262824135	0.5516323767
ADPRM	0	0
ADSL	0	0
ADSS	0	0
ADSSL1	0.04955409245	0.0991081849
AEBP1	0.6876238368	0.6876238368
AFP	0.9001486686	0.9001486686
AGBL2	0.8303691461	0.8303691461
AGBL5	0.0995789404	0.0995789404
AGL	0.5104563582	0.5104563582
AGO3	0	0
AHNAK2	0.722541163825	0.7022303256
AJUBA	0.5826986289	0.5826986289
AKAP1	0.0991734881	0.0991734881
AKAP11	1.0100993521	1.0100993521
AKAP13	0.1167690654	0.1167690654
AKAP4	0.2020697601	0.2020697601
AKAP8	0.3599912234	0.3599912234
AKAP8L	0.1065641264	0.1065641264
AKAP9	0	0
AKR1B15	0	0
ALAD	0.1112094326	0.1112094326
ALDH1L2	0	0
ALDH5A1	0.345837282	0.345837282
ALDH8A1	0.1617901629	0.1617901629
ALG10	0.43069526515	0.2874303682
ALKBH1	0	0
ALOX12	0.5852734661	0.5852734661
ALOX5	0	0
ALX1	0	0
AMER3	1.6029926415	1.6029926415
AMHR2	0.4278067546	0.4278067546
AMPH	0	0
ANAPC10	0.1650746319	0.1650746319
ANK2	0.657857022525	0.084932261
ANK3	0.6836786434	0.8142283693
ANKFN1	0.1668483367	0.1668483367
ANKH	0	0
