cds.id	symbol	syn.obs	missense.obs	nonsense.obs	fs.obs	inframe.obs	max.missense	max.nonsense	max.prot	length	total.mut.cnt	prot.mut.cnt	total.mut.pct	prot.mut.pct	score.max_cnt	score.peak	score.summit	max.peak.cnt	multiple.cnt	summit.start	summit.end	wt.stop	fitch	fitch.summit	cnt.disabling	wt.stop.pct	syn.obs.pct	missense.obs.pct	truncating.obs.pct	ensembl.gene.id
ENST00000237449	DNAH6	2	3	0	0	0	-0.68	-5	-5.68	4158	5	3	0.0133611244722356	0.00801667468334135	1	0	0.333333333333333	0	0	1303	1303	0	0.479	0.479	0	0	0.4	0.6	0	ENSG00000115423
ENST00000243077	LRP1	2	5	0	0	0	-0.24	-5	-5.24	4544	7	5	0.0171165884194053	0.0122261345852895	1	0	0.2	0	0	165	165	0	0.096	0.096	0	0	0.285714285714286	0.714285714285714	0	ENSG00000123384
ENST00000258229	PCNX2	1	4	0	0	0	0.42	-5	-4.58	2137	5	4	0.0259969843498154	0.0207975874798523	1	0	0.25	0	0	688	688	0	0.218	0.218	0	0	0.2	0.8	0	ENSG00000135749
ENST00000265104	DNAH5	2	4	0	0	0	-0.42	-5	-5.42	4624	6	4	0.0144175317185698	0.00961168781237986	1	0	0.25	0	0	1239	1239	0	0.38	0.38	0	0	0.333333333333333	0.666666666666667	0	ENSG00000039139
ENST00000269197	ASXL3	0	5	0	0	0	5	-5	0	2248	5	5	0.0247133254250692	0.0247133254250692	1	0	0.2	0	0	8	8	0	0.434	0.434	0	0	0	1	0	ENSG00000141431
ENST00000269305	TP53	0	2	1	5	1	0.18	1.64	1.82	393	9	8	0.254452926208651	0.226180378852135	1	0	0.5	0	0	275	275	213.5	0.209	0.209	6	0.543256997455471	0	0.222222222222222	0.666666666666667	ENSG00000141510
ENST00000271588	HMCN1	0	6	0	0	0	5	-5	0	5635	6	6	0.0118308192842354	0.0118308192842354	1	0	0.166666666666667	0	0	1011	1011	0	0.303	0.303	0	0	0	1	0	ENSG00000143341
ENST00000281129	CEP128	2	3	0	0	0	-0.97	-5	-5.97	1094	5	3	0.0507820434694292	0.0304692260816575	1	0	0.333333333333333	0	0	409	409	0	0.153	0.153	0	0	0.4	0.6	0	ENSG00000100629
ENST00000320301	PCDH15	1	5	0	0	0	0.4	-5	-4.6	1955	6	5	0.0341005967604433	0.0284171639670361	1	0	0.2	0	0	10	10	0	0.817	0.817	0	0	0.166666666666667	0.833333333333333	0	ENSG00000150275
ENST00000322527	CCDC168	0	3	1	2	0	3.94	5	8.94	7081	6	6	0.0094148660735301	0.0094148660735301	1	0	0.333333333333333	0	0	1695	1695	4307	1.796	1.796	3	0.608247422680412	0	0.5	0.5	ENSG00000175820
ENST00000325643	SPATA31E1	0	5	0	0	0	5	-5	0	1445	5	5	0.0384467512495194	0.0384467512495194	1	0	0.2	0	0	154	154	0	2.104	2.104	0	0	0	1	0	ENSG00000177992
ENST00000333244	AHNAK2	2	4	0	0	0	-0.17	-5	-5.17	5795	6	4	0.0115041702617199	0.00766944684114658	1	0	0.25	0	0	1564	1564	0	0.723	0.723	0	0	0.333333333333333	0.666666666666667	0	ENSG00000185567
ENST00000337652	MEN1	0	0	3	2	0	-5	5	0	615	5	5	0.0903342366757001	0.0903342366757001	0	0	0	0	0	0	0	291.2	0.479	0.479	5	0.47349593495935	0	0	1	ENSG00000133895
ENST00000349496	CTNNB1	0	8	0	1	2	5	-1.39	3.61	781	11	9	0.156494522691706	0.128040973111396	5	1	1	8	8	34	45	39	0	0	1	0.0499359795134443	0	0.727272727272727	0.0909090909090909	ENSG00000168036
ENST00000357077	ANK2	1	4	0	0	0	0.17	-5	-4.83	3957	5	4	0.0140398169207874	0.0112318535366299	1	0	0.25	0	0	291	291	0	0.658	0.658	0	0	0.2	0.8	0	ENSG00000145362
ENST00000358273	NF1	1	0	2	2	0	-5	4.83	-0.17	2839	5	4	0.0195687057258033	0.0156549645806426	0	0	0	0	0	0	0	1805.25	0.479	0.479	4	0.635875308207115	0.2	0	0.8	ENSG00000196712
ENST00000359596	RYR1	4	0	0	1	0	-5	-0.14	-5.14	5038	5	1	0.0110273036037228	0.00220546072074456	0	0	0	0	0	0	0	336	0.479	0.479	1	0.0666931321953156	0.8	0	0.2	ENSG00000196218
ENST00000368147	SPTA1	1	3	0	1	0	0.03	0.26	0.29	2419	5	4	0.0229663313582288	0.0183730650865831	1	0	0.333333333333333	0	0	783	783	903	0.264	0.264	1	0.373294749896652	0.2	0.6	0.2	ENSG00000163554
ENST00000371117	PKHD1	1	5	1	0	0	0.56	1.64	2.2	4074	7	6	0.0190912562046583	0.0163639338897071	1	0	0.2	0	0	582	582	592	0.635	0.635	1	0.145311732940599	0.142857142857143	0.714285714285714	0.142857142857143	ENSG00000170927
ENST00000374469	SVEP1	1	4	0	0	0	0.45	-5	-4.55	3571	5	4	0.0155574224462491	0.0124459379569993	1	0	0.25	0	0	1661	1661	0	0.139	0.139	0	0	0.2	0.8	0	ENSG00000165124
ENST00000375254	UBR4	1	4	0	0	0	0.35	-5	-4.65	5183	5	4	0.0107188029240894	0.00857504233927155	1	0	0.25	0	0	400	400	0	0	0	0	0	0.2	0.8	0	ENSG00000127481
ENST00000375963	ZCCHC6	1	2	0	2	0	0	0.55	0.55	1495	5	4	0.0371609067261241	0.0297287253808993	1	0	0.5	0	0	799	799	727	0.447	0.447	2	0.48628762541806	0.2	0.4	0.4	ENSG00000083223
ENST00000397910	MUC16	0	14	0	1	0	5	2.2	7.2	14507	15	15	0.0114887066014108	0.0114887066014108	1	0	0.0714285714285714	0	0	496	496	9003	1.955	1.955	1	0.620596953195009	0	0.933333333333333	0.0666666666666667	ENSG00000181143
ENST00000422127	OBSCN	3	2	0	0	0	-1.03	-5	-6.03	7968	5	2	0.0069723337795627	0.00278893351182508	1	0	0.5	0	0	4529	4529	0	0.31	0.31	0	0	0.6	0.4	0	ENSG00000154358
ENST00000431078	CNTNAP5	0	7	0	0	0	5	-5	0	1306	7	7	0.0595541943168283	0.0595541943168283	1	0	0.142857142857143	0	0	419	419	0	0.418	0.418	0	0	0	1	0	ENSG00000155052
ENST00000434431	TMEM247	0	0	0	0	6	2.85	0	2.85	219	6	0	0.30441400304414	0	0	0	0	0	0	0	0	0	0.479	0.479	0	0	0	0	0	NA
ENST00000463781	MUC4	0	1	0	1	3	5	-1.79	3.21	5412	5	2	0.0102652541676932	0.00410610166707728	1	0	1	0	0	2460	2460	1689	0.902	0.902	1	0.312084257206208	0	0.2	0.2	ENSG00000145113
ENST00000525166	FAT3	3	2	0	0	0	-1.38	-5	-6.38	4439	5	2	0.012515331280819	0.0050061325123276	1	0	0.5	0	0	1194	1194	0	0.479	0.479	0	0	0.6	0.4	0	ENSG00000165323
ENST00000591111	TTN	1	8	0	0	0	1.19	-5	-3.81	34350	9	8	0.00291120815138282	0.00258774057900695	1	0	0.125	0	0	6240	6240	0	0.479	0.479	0	0	0.111111111111111	0.888888888888889	0	ENSG00000155657
